Date,Open,High,Low,Close,Adj Close,Volume
2021-07-25,29130.425781,30039.039063,28783.433594,30026.519531,30026.519531,17715710196
2021-07-26,30055.265625,34319.386719,29977.701172,31628.847656,31628.847656,43221149247
2021-07-27,31576.753906,33336.066406,30871.863281,33336.066406,33336.066406,29690410041
2021-07-28,33417.484375,34560.597656,32899.851563,33764.222656,33764.222656,32672260425
2021-07-29,33763.839844,34189.921875,33224.746094,33643.082031,33643.082031,22844853094
2021-07-30,33659.109375,35590.078125,32259.806641,35590.078125,35590.078125,27869012071
2021-07-31,35557.011719,35586.625000,34642.988281,35077.269531,35077.269531,21743361094
2021-08-01,34937.933594,35848.726563,33328.820313,33690.843750,33690.843750,22493015644
2021-08-02,33633.839844,34015.570313,32636.474609,33015.015625,33015.015625,21555769455
2021-08-03,32995.191406,33479.621094,31847.322266,32145.031250,32145.031250,22065717849
2021-08-04,32195.878906,33745.906250,31719.166016,33576.187500,33576.187500,21433142518
2021-08-05,33573.660156,34938.070313,31643.248047,34536.406250,34536.406250,29732758610
2021-08-06,34533.292969,36792.507813,33779.550781,36399.933594,36399.933594,32497785843
2021-08-07,36413.789063,37992.550781,36231.664063,37878.578125,37878.578125,34031757079
2021-08-08,37894.425781,38496.250000,36834.031250,37281.746094,37281.746094,30901481683
2021-08-09,37276.476563,39556.042969,36458.363281,39501.929688,39501.929688,33000273327
2021-08-10,39429.894531,39747.226563,38138.308594,38895.972656,38895.972656,28623543705
2021-08-11,38908.496094,39816.843750,38689.542969,38829.910156,38829.910156,29228448871
2021-08-12,38815.640625,39373.210938,37358.152344,37857.078125,37857.078125,28735694964
2021-08-13,37866.796875,40547.597656,37739.468750,40514.828125,40514.828125,26909894509
2021-08-14,40529.550781,40774.023438,39145.519531,39924.835938,39924.835938,26458364542
2021-08-15,39924.597656,40145.375000,38638.546875,39890.167969,39890.167969,26274887098
2021-08-16,39867.238281,40689.136719,38807.207031,39058.035156,39058.035156,27827732126
2021-08-17,39000.281250,40059.113281,38036.660156,38170.503906,38170.503906,28567965431
2021-08-18,38163.156250,39276.835938,37875.078125,38282.078125,38282.078125,27509491838
2021-08-19,38231.402344,40219.839844,37677.210938,40011.644531,40011.644531,31863930903
2021-08-20,40016.390625,42170.960938,39941.078125,42168.417969,42168.417969,29662710164
2021-08-21,42158.074219,42504.074219,41303.062500,41810.281250,41810.281250,34697103726
2021-08-22,41779.175781,42299.710938,41207.093750,42166.070313,42166.070313,21690154270
2021-08-23,42140.441406,43068.277344,41784.328125,42187.304688,42187.304688,29209895615
2021-08-24,42201.097656,42483.445313,40572.199219,40591.277344,40591.277344,30087439475
2021-08-25,40609.261719,41798.484375,40132.558594,41589.105469,41589.105469,27731017546
2021-08-26,41624.656250,41936.710938,39431.363281,39938.910156,39938.910156,27793027038
2021-08-27,39898.355469,41637.230469,39487.519531,41591.351563,41591.351563,29258076943
2021-08-28,41603.148438,41781.964844,41117.074219,41458.871094,41458.871094,24219695246
2021-08-29,41466.371094,42087.683594,40630.964844,41386.457031,41386.457031,21943161406
2021-08-30,41390.710938,41472.914063,39799.183594,39888.605469,39888.605469,26996771542
2021-08-31,39862.628906,40754.289063,39624.820313,39937.781250,39937.781250,29407483737
2021-09-01,39881.121094,41465.328125,39451.468750,41250.730469,41250.730469,33052752888
2021-09-02,41217.644531,42469.406250,41072.386719,41543.117188,41543.117188,33273143710
2021-09-03,41509.875000,42880.882813,40727.292969,42112.261719,42112.261719,36371739714
2021-09-04,42098.750000,42534.257813,41695.449219,42028.554688,42028.554688,31532234752
